| 第1年春第0日08:00:00 | 民宅 | 被感染了。
| 第1年春第0日08:00:00 | 民宅 | 得了流感。
| 第1年春第0日08:00:00 | 民宅 | wujin一行开始了他们在大灾变中的冒险。
| 第1年春第0日08:24:46 | 民宅 | 吐出来了。
| 第1年春第0日08:24:48 | 民宅 | 吐出来了。
| 第1年春第0日08:25:32 | 公路 | 吐出来了。
| 第1年春第0日08:25:41 | 公路 | 吐出来了。
| 第1年春第0日08:27:17 | 公路 | 吐出来了。
| 第1年春第0日08:29:22 | 公路 | 吐出来了。
| 第1年春第0日08:37:23 | 公路 | 吐出来了。
| 第1年春第0日08:40:27 | 民宅 | 吐出来了。
| 第1年春第0日08:53:55 | 森林 | 吐出来了。
| 第1年春第0日08:55:03 | 森林 | 吐出来了。
| 第1年春第0日08:55:10 | 森林 | 吐出来了。
| 第1年春第0日08:55:18 | 森林 | 吐出来了。
| 第1年春第0日08:56:19 | 森林 | 吐出来了。
| 第1年春第0日08:56:30 | 森林 | 吐出来了。
| 第1年春第0日08:57:09 | 森林 | 吐出来了。
| 第1年春第0日08:58:13 | 森林 | 吐出来了。
| 第1年春第0日08:59:41 | 森林 | 从感染中恢复了过来……运气。
| 第1年春第0日09:01:02 | 森林 | 吐出来了。
| 第1年春第0日09:01:09 | 森林 | 吐出来了。
| 第1年春第0日09:02:36 | 森林 | 吐出来了。
| 第1年春第0日09:03:08 | 森林 | 吐出来了。
| 第1年春第0日09:03:29 | 森林 | 吐出来了。
| 第1年春第0日09:04:04 | 森林 | 吐出来了。
| 第1年春第0日09:04:22 | 森林 | 吐出来了。
| 第1年春第0日09:05:13 | 森林 | 吐出来了。
| 第1年春第0日09:05:30 | 森林 | 吐出来了。
| 第1年春第0日09:05:50 | 森林 | 吐出来了。
| 第1年春第0日09:42:01 | 森林 | 吐出来了。
| 第1年春第0日09:42:23 | 森林 | 吐出来了。
| 第1年春第0日09:43:28 | 森林 | 吐出来了。
| 第1年春第0日09:44:37 | 森林 | 吐出来了。
| 第1年春第0日09:45:37 | 森林 | 吐出来了。
| 第1年春第0日09:45:56 | 森林 | 吐出来了。
| 第1年春第0日09:54:08 | 森林 | 吐出来了。
| 第1年春第0日09:55:16 | 森林 | 吐出来了。
| 第1年春第0日09:59:35 | 森林 | 吐出来了。
| 第1年春第0日09:59:55 | 森林 | 吐出来了。
| 第1年春第0日10:00:06 | 森林 | 吐出来了。
| 第1年春第0日10:00:23 | 森林 | 吐出来了。
| 第1年春第0日10:00:33 | 森林 | 吐出来了。
| 第1年春第0日10:01:23 | 森林 | 吐出来了。
| 第1年春第0日10:01:25 | 森林 | 吐出来了。
| 第1年春第0日10:02:09 | 森林 | 吐出来了。
| 第1年春第0日10:02:12 | 森林 | 吐出来了。
| 第1年春第0日10:02:27 | 森林 | 吐出来了。
| 第1年春第0日10:04:23 | 森林 | 吐出来了。
| 第1年春第0日10:16:58 | 旷野 | 吐出来了。
| 第1年春第0日10:17:17 | 旷野 | 吐出来了。
| 第1年春第0日10:18:07 | 旷野 | 吐出来了。
| 第1年春第0日10:19:24 | 旷野 | 吐出来了。
| 第1年春第0日10:21:44 | 旷野 | 吐出来了。
